nuvirdi;teg_eign;matssvaedi;ibm2
 64230;Einbýlishús;283;2975
 36050;Íbúðareign; 90;1183
 14293;Íbúðareign; 25; 372
 43887;Íbúðareign; 72;1723
 27459;Íbúðareign;100;1052
 49343;Einbýlishús; 75;1161
 27972;Íbúðareign; 90; 975
 16957;Íbúðareign; 70; 748
 14000;Íbúðareign;100; 502
 31449;Íbúðareign;180;1304
 16731;Íbúðareign;100; 746
 20096;Íbúðareign;130; 825
 32231;Íbúðareign;100; 122
 22100;Íbúðareign;100; 851
 17190;Íbúðareign;100; 685
 25300;Íbúðareign;270; 932
 28264;Íbúðareign;130;1266
 48832;Einbýlishús;220;1414
 80697;Einbýlishús;280;1784
 22285;Íbúðareign; 72; 751
 33904;Íbúðareign;130; 140
 16996;Íbúðareign; 90; 693
 29156;Íbúðareign;150; 894
 16351;Íbúðareign; 80; 632
 19391;Íbúðareign;100; 722
 24972;Íbúðareign; 70; 815
 14806;Íbúðareign;160; 756
 31472;Íbúðareign;210;1151
 19772;Íbúðareign;130;  82
 38571;Einbýlishús;120;1387
 25394;Íbúðareign;120; 987
 13200;Íbúðareign;200; 566
 15296;Íbúðareign;280; 536
 17968;Íbúðareign;160; 849
 42150;Íbúðareign; 20;1139
 13300;Íbúðareign;161; 722
 13857;Íbúðareign;150; 648
 21800;Íbúðareign; 20; 912
 68898;Einbýlishús; 25;1569
 31560;Einbýlishús;160; 144
 18600;Einbýlishús;100; 675
 20970;Íbúðareign; 20;  64
 24844;Íbúðareign;180; 958
 11600;Íbúðareign;161; 543
 18386;Íbúðareign;130; 777
 22000;Íbúðareign;180;  87
 18753;Íbúðareign;100; 594
 18060;Íbúðareign; 90;  68
 17964;Íbúðareign;100; 619
 15990;Íbúðareign;161; 922
 24257;Íbúðareign;200;1284
 13889;Íbúðareign; 91; 497
 12866;Íbúðareign;161; 733
 40366;Íbúðareign; 20;1297
 16224;Íbúðareign;160; 853
 23493;Íbúðareign;180;1034
 21289;Íbúðareign; 11;  79
 16139;Íbúðareign;160; 643
 34230;Íbúðareign;100;1275
 27247;Íbúðareign; 80; 726
 20479;Íbúðareign; 90; 688
 16884;Íbúðareign; 91; 825
 28963;Íbúðareign;100;1065
 15695;Íbúðareign; 20; 524
 13000;Íbúðareign;160; 532
 17949;Íbúðareign;160; 575
 18296;Íbúðareign; 90; 781
 27272;Íbúðareign;270;1041
 16516;Íbúðareign; 80; 405
 19210;Íbúðareign; 90; 631
 41829;Íbúðareign; 90;1242
 35710;Íbúðareign; 90;1033
 15483;Íbúðareign;200; 784
 14245;Íbúðareign;200; 625
 23336;Íbúðareign; 90; 688
 30942;Íbúðareign; 90; 975
 23500;Íbúðareign; 20; 908
 10952;Íbúðareign;170; 564
 18485;Íbúðareign;170;1017
 53227;Einbýlishús;150;1847
 25191;Íbúðareign; 80;1004
 23426;Íbúðareign;150;1267
 16012;Íbúðareign; 20; 567
 76097;Einbýlishús;120;3046
 19993;Íbúðareign;100;  82
 24282;Íbúðareign;100; 944
 37934;Íbúðareign;100;1282
 22364;Íbúðareign;100;1008
 33500;Íbúðareign; 20;1197
 22448;Íbúðareign; 85; 809
 14972;Íbúðareign; 80; 547
 17700;Íbúðareign; 25; 855
 13975;Íbúðareign; 20; 452
 15677;Íbúðareign; 25; 441
 16758;Íbúðareign; 90; 563
 18686;Íbúðareign;170;1022
 14535;Íbúðareign;100; 591
 19500;Íbúðareign;161;1059
 17987;Íbúðareign;150;1139
 23145;Íbúðareign;100; 954
 18000;Íbúðareign; 72; 622
 22907;Íbúðareign;120;1073
 34260;Íbúðareign;280; 862
 46429;Einbýlishús;150;2163
 20217;Íbúðareign;130; 706
 15486;Íbúðareign;100; 552
 20473;Íbúðareign; 72; 696
 21489;Íbúðareign;100; 628
 18494;Íbúðareign;120; 924
 22979;Íbúðareign; 80;1092
 24212;Íbúðareign;130;1043
 32000;Íbúðareign;100;1305
 23800;Íbúðareign;130; 915
 17589;Íbúðareign;283;  63
 28542;Íbúðareign;180;1191
 27564;Íbúðareign;283;1101
 13971;Íbúðareign;100; 733
 19085;Íbúðareign; 90; 781
 22358;Íbúðareign;280; 814
 21949;Íbúðareign;110; 931
 24193;Íbúðareign; 72; 877
 16077;Íbúðareign;130; 677
 27008;Íbúðareign; 20; 100
 17248;Íbúðareign; 70; 691
 28448;Íbúðareign;180;1191
 49452;Einbýlishús;130;1891
 17171;Íbúðareign;160; 759
 14986;Íbúðareign;100; 635
 13183;Íbúðareign; 20; 497
 17492;Íbúðareign;130;  84
 22380;Íbúðareign;280; 795
 26751;Íbúðareign;280;1029
 18972;Íbúðareign;180;  74
 17370;Íbúðareign; 90; 607
 34476;Íbúðareign; 90; 975
 16286;Íbúðareign;100; 616
 30715;Íbúðareign;270; 115
 16071;Íbúðareign;150;  82
 19593;Íbúðareign; 25; 747
 32102;Íbúðareign; 80;1086
 18073;Íbúðareign; 90; 548
 26775;Íbúðareign; 70;1012
 28021;Íbúðareign;130;1027
 18372;Íbúðareign;150; 784
